╔══════════════════════════════════════════════════════════╗
║               HADES V19 — DB EXPORT                    ║
    1001  9764381      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1002  9765330      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1003  9765330      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1004  9766743      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1005  9767669      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1006  9778100      ♦️    NULL  NULL  تعادل ⚪        NULL            2026-03-02 01:51:15.184601
    1007  9784275      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1008  9788337      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1009  9790261      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1010  9791805      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1011  9793659      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1012  9795355      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1013  9796246      ♦️    NULL  NULL  تعادل ⚪        NULL            2026-03-02 01:51:15.184601
    1014  9797169      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1015  9798494      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1016  9800144      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1017  9816405      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1018  9817311      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1019  9817780      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1020  9818995      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1021  9822549      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1022  9834711      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1023  9837037      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1024  9877848      ♦️    NULL  NULL  تعادل ⚪        NULL            2026-03-02 01:51:15.184601
    1025  9879340      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1026  9880622      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1027  9883073      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1028  9883073      ♦️    NULL  NULL  الثور 🔵        NULL            2026-03-02 01:51:15.184601
    1029  9891300      ♦️    NULL  NULL  الراعي 🔴       NULL            2026-03-02 01:51:15.184601
    1030  11664097     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1031  11666535     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1032  11669401     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1033  11671930     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1034  11674246     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1035  11676186     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1036  11679430     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1037  11682891     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1038  11689648     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1039  11751024     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1040  11754797     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1041  11759129     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1042  11786290     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1043  11798337     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1044  11811714     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1045  11813720     ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1046  11858491     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1047  11861878     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1048  6900900      ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1049  12022495     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1050  12666687     ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1051  12678076     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1052  10643568     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1053  10651768     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1054  10654365     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1055  10656484     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1056  10661487     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1057  10663580     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1058  10665737     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1059  10668665     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1060  10671556     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1061  10674122     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1062  10677603     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1063  10681702     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1064  10684953     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1065  10688825     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1066  10691728     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1067  10694104     ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1068  10696850     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1069  10699652     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1070  10702421     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1071  10797542     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1072  10803904     ♣️    NULL  NULL  تعادل          NULL            2026-03-02 01:51:15.184601
    1073  10831426     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1074  10835333     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1075  10839059     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1076  10842923     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1077  10842923     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1078  10842923     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1079  10842923     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1080  10860204     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1081  10862390     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1082  10865130     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1083  10905062     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1084  10909441     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1085  10913067     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1086  10917071     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1087  10921433     ♠️    NULL  NULL  تعادل          NULL            2026-03-02 01:51:15.184601
    1088  10926380     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1089  10931364     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1090  10967798     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1091  11034376     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1092  11025078     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1093  11032466     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1094  11096626     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1095  11097975     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1096  11108276     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1097  11109678     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1098  11111244     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1099  1113166      ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1100  11114102     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1101  11120416     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1102  11121352     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1103  11122498     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1104  11130330     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1105  11132052     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1106  11133447     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1107  11134678     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1108  11135837     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1109  11178431     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1110  11179432     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1111  11181599     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1112  11214679     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1113  11246137     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1114  11259217     ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1115  11312780     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1116  11485882     ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1117  11563700     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1118  6890000      ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1119  11604556     ♦️    NULL  NULL  تعادل          NULL            2026-03-02 01:51:15.184601
    1120  11677083     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1121  11702628     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1122  11704745     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1123  11705633     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1124  11707283     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1125  11709046     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1126  11709901     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1127  11710934     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1128  11711929     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1129  11714234     ♣️    NULL  NULL  تعادل          NULL            2026-03-02 01:51:15.184601
    1130  11715348     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1131  11761377     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1132  11717438     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1133  11718983     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1134  11720214     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1135  11721353     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1136  11722240     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1137  11723169     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1138  11724045     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1139  11725114     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1140  11726284     ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1141  11727350     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1142  11828192     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1143  11829968     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1144  11830876     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1145  11833833     ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1146  6889998      ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1147  11858140     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1148  11859007     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1149  11861043     ♠️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1150  11862149     ♣️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1151  11863157     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1152  11864119     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1153  11865022     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1154  11866079     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1155  11867025     ♣️    NULL  NULL  تعادل          NULL            2026-03-02 01:51:15.184601
    1156  11867693     ♦️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1157  11868342     ♣️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1158  11869054     ♦️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1159  11869912     ♥️    NULL  NULL  ثور            NULL            2026-03-02 01:51:15.184601
    1160  11870692     ♥️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1161  11871774     ♠️    NULL  NULL  راعي           NULL            2026-03-02 01:51:15.184601
    1162  11675723     ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1163  11794374     ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1164  11795463     ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1165  11796659     ♥️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1166  11798015     ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1167  11799319     ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1168  11800969     ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1169  11802605     ♥️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1170  11804164     ♦️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1171  11805784     ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1172  11861141     ♥️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1173  11863669     ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1174  11865659     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1175  11866771     ♠️    NULL  NULL  تعادل ⚪        1               2026-03-02 01:51:15.184601
    1176  11868051     ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1177  12343401     ♥️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1178  12348647     ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1179  12354286     ♦️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1180  12357507     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1181  12361239     ♦️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1182  12364405     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1183  12370348     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1184  12376037     ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1185  11764878     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1186  9807819      ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1187  9811616      ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1188  9816218      ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1189  9820531      ♥️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1190  9825184      ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1191  9829600      ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1192  9834253      ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1193  9837948      ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1194  9842427      ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1195  9860732      ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1196  9865723      ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1197  9870630      ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1198  9874223      ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1199  9878086      ♣️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1200  9881261      ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1201  9884840      ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1202  9888454      ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1203  9892626      ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1204  9897894      ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1205  9917770      ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1206  9927579      ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1207  9932623      ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1208  9937627      ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1209  9942082      ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1210  9954089      ♠️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1211  9957003      ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1212  9960380      ♠️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1213  9963402      ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1214  9966832      ♥️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1215  9971018      ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1216  9975352      ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1217  9980178      ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1218  9984417      ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1219  9989127      ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1220  9993979      ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1221  9998769      ♥️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1222  10002442     ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1223  10006445     ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1224  10011887     ♠️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1225  10015950     ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1226  10020145     ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1227  10023798     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1228  10027083     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1229  10030315     ♥️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1230  10034084     ♠️    NULL  NULL  تعادل ⚪        0               2026-03-02 01:51:15.184601
    1231  10037411     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1232  10041402     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1233  10045260     ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1234  10049796     ♠️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1235  10054303     ♣️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1236  10058747     ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1237  10062799     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1238  10067336     ♥️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1239  10071600     ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1240  10234167     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1241  10236088     ♥️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1242  10407156     ♦️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1243  10415142     ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1244  10418687     ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1245  10421365     ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1246  10424391     ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1247  10427336     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1248  10429996     ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1249  10350452     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1250  10408663     ♥️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1251  10415363     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1252  10417869     ♠️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1253  10419974     ♥️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1254  10423013     ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1255  10426326     ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1256  10429573     ♥️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1257  10514731     ♠️    NULL  NULL  الراعي 🔴       2               2026-03-02 01:51:15.184601
    1258  10555882     ♦️    NULL  NULL  الثور 🔵        2               2026-03-02 01:51:15.184601
    1259  1057762      ♦️    NULL  NULL  الثور 🔵        2               2026-03-02 01:51:15.184601
    1260  10717631     ♠️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1261  10721375     ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1262  10778097     ♥️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1263  10784869     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1264  10791227     ♣️    NULL  NULL  تعادل ⚪        0               2026-03-02 01:51:15.184601
    1265  10919026     ♥️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1266  11028548     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1267  11153995     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1268  11155044     ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1269  11160972     ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1270  11167692     ♦️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1272  10086925     ♥️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1273  10088561     ♥️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1274  10090104     ♦️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1275  10091802     ♦️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1276  10093425     ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1277  10095016     ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1278  10096249     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1279  1097994      ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1280  1099320      ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1281  10100724     ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1282  10102297     ♥️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1283  10103880     ♣️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1284  10105465     ♥️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1285  10106715     ♣️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1286  10108213     ♦️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1287  10109709     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1288  1011070      ♥️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1289  10112214     ♣️    NULL  NULL  الراعي 🔴       0               2026-03-02 01:51:15.184601
    1290  10113820     ♣️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1291  10115343     ♦️    NULL  NULL  الثور 🔵        0               2026-03-02 01:51:15.184601
    1292  10116833     ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1293  10118257     ♠️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1294  10119671     ♥️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1295  10121108     ♠️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1296  10175127     ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1297  10175696     ♦️    NULL  NULL  الراعي 🔴       1               2026-03-02 01:51:15.184601
    1298  10176560     ♥️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1299  10177426     ♣️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
    1300  10178964     ♦️    NULL  NULL  الثور 🔵        1               2026-03-02 01:51:15.184601
